City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
579,Tongliao,CN,76.82,overcast clouds,43.6125,122.2653,Meirujia Hotel
580,Darnah,LY,76.3,clear sky,32.767,22.6367,فندق الفردوس
582,Neftcala,AZ,76.55,clear sky,39.3742,49.2472,Otel restoran
596,Manggar,ID,80.01,overcast clouds,-2.8833,108.2667,Guest Hotel
598,Tevaitoa,PF,78.35,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
599,Kupang,ID,76.51,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
600,Lancaster,US,78.76,broken clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
601,Namatanai,PG,84.94,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
604,Riberalta,BO,86.2,broken clouds,-10.9833,-66.1,Hotel Colonial
607,Manicore,BR,80.55,clear sky,-5.8092,-61.3003,Hotel Durval
608,Dongli,CN,82.38,few clouds,23.5656,116.8194,Chenghai Shizhang Donghuaqiao Hostel
617,Mitsamiouli,KM,76.6,broken clouds,-11.3847,43.2844,Foyer ADM
621,Lazaro Cardenas,MX,84.36,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
623,Cockburn Town,TC,81.5,clear sky,21.4612,-71.1419,Osprey Beach Hotel
625,Kanniyakumari,IN,78.8,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
628,Mana,GF,77.7,broken clouds,5.6592,-53.7767,LE SAMANA
629,Filadelfia,US,82.4,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
636,Tomatlan,MX,86.05,scattered clouds,19.9333,-105.25,El Salvial
638,La Ronge,CA,80.82,few clouds,55.1001,-105.2842,Northland Motor Hotel
640,Stockbridge,US,85.86,overcast clouds,33.5443,-84.2338,La Quinta Inn & Suites by Wyndham Atlanta Stockbridge
642,Shubarkuduk,KZ,77.86,broken clouds,49.1447,56.4872,Sirius
644,Zhanakorgan,KZ,80.04,scattered clouds,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
646,Zaranj,AF,84.61,clear sky,30.9667,61.8833,کارگاه بلوک زنی سرهنگ
651,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
655,Padang,ID,77.92,light rain,-0.9492,100.3543,Mercure Padang
657,College,US,78.01,smoke,64.8569,-147.8028,Pike's Waterfront Lodge
659,Tezu,IN,78.44,overcast clouds,27.9167,96.1667,Circuit House
664,Celestun,MX,81.73,overcast clouds,20.8667,-90.4,Posada Lilia
665,Bamako,ML,81.01,few clouds,12.65,-8.0,Hôtel l’Amitié Bamako
666,Pemberton,CA,83.89,clear sky,50.3164,-122.8027,Pemberton Valley Lodge
673,Conceicao Do Araguaia,BR,76.57,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
676,Ankang,CN,81.34,overcast clouds,32.68,109.0172,安琪酒店
681,Acapulco,MX,84.07,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
682,Porto Novo,BJ,76.82,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
684,Ixtapa,MX,85.23,broken clouds,20.7,-105.2,hotel la terminal
687,Yaguara,CO,75.78,broken clouds,2.6636,-75.5175,Hotel El lago
688,Luohe,CN,82.08,overcast clouds,33.5717,114.0353,BNB 29-Tunxi Old Street Branch
692,Kotma,IN,78.82,overcast clouds,23.2,81.9667,Adil ka ghar
